'Order','Type1','Type2','User','Status','SampleID','AnalyID','Order'2,'Date_Time','AcidTemp','d13CPDBraw','d18OPDBgasraw','d45vref','d46vref','d47vref','d48vref','d9vref','D47vref'3,'D48vref'4,'D49vref','D47@d47=0','D48@d487=0','D49@d49=0','d13CPDB','d18OPDBmin','D47_90 CDES','D47_90 iCDES+','D47_90_iCDES','D48_90 CDES','D48_90 iCDES+','D48_90_iCDES','D49_90 CDES','D49_90 iCDES+','D47_90_iCDES'5,'T(D47)CDES','TD47iCDES+','T(D47)iCDES'
4399,'Sample','Matthew''s BHB Carbs','wmn','include',PK95-SC-176,'IPL-CI-4766 PK95-SC-176-02',4399,'3/7/2026 7:02:34 PM',90,-8.984417272,-0.377308088,1.471415806,-1.510970326,-0.332555204,-3.18029328,-22.2276214,-0.366581396,-0.166794359,-20.86104385,-0.366204643,-0.16375399,-13.58951603,-9.265995165,-8.370407837,0.566342342,0.559765569,0.554837093,0.197005879,0.195706793,0.194965725,-0.130301072,0.959487124,1.359328858,37.59637816,40.20520213,42.20384039
4401,'Sample','Matthew''s BHB Carbs','wmn','include',PK95-SC-179,'IPL-CI-4769 PK95-SC-179-03',4401,'3/8/2026 6:05:01 PM',90,-7.380413745,-0.379030559,2.984803106,-1.50932596,1.255906923,-3.08178554,-19.03275345,-0.336089317,-0.065582144,-19.24007644,-0.337510534,-0.062556813,-13.01465237,-7.661991638,-8.372116419,0.597044772,0.590481667,0.585923052,0.314227928,0.314427018,0.332356953,-0.766756669,0.888007976,1.561008436,26.22530105,28.55106997,30.19878149
4466,'Sample','Matthew''s BHB Carbs','wmn','include',PK95-SC-118up,'IPL-CI-4839 PK95-SC-118up',4466,'4/10/2026 2:10:15 PM',90,-8.436986541,-1.756562975,1.939526929,-2.886153944,-1.181382316,-5.83970638,-20.83522089,-0.340818357,-0.076148732,-17.2925043,-0.339245303,-0.076638286,-10.26592999,-8.715769225,-9.735882421,0.580874335,0.585857683,0.589523533,0.283848466,0.290541908,0.302268775,-1.299617031,-0.279656525,6.866748865,32.05552651,30.22260591,28.89515885
4464,'Sample','Matthew''s BHB Carbs','wmn','include',PK95-SC-118up,'IPL-CI-4837 PK95-SC-118up',4464,'4/10/2026 9:03:31 AM',90,-8.447196029,-1.755559929,1.930018414,-2.885174085,-1.205846436,-5.822320097,-23.68150917,-0.359003222,-0.065767254,-20.14591761,-0.357397397,-0.066348135,-12.15976377,-8.725978713,-9.734887461,0.560905637,0.566019713,0.569905805,0.295866306,0.302573598,0.314716947,0.334455239,0.433204272,4.270426535,39.748259,37.72283945,36.20979047
4470,'Sample','Matthew''s BHB Carbs','wmn','include',PK95-SC-92,'IPL-CI-4843 PK95-SC-92',4470,'4/13/2026 11:35:38 AM',90,-8.511364936,-0.295839539,1.920636241,-1.428682902,0.259809144,-2.971161365,-17.39292289,-0.318674483,-0.117422667,-16.64888417,-0.319020344,-0.117577049,-10.78274206,-8.79014762,-8.286936856,0.603177875,0.607976537,0.611385499,0.236066967,0.242561341,0.252005963,-0.813011936,-0.0805765,6.470904408,24.09983045,22.46802427,21.3249842
4469,'Sample','Matthew''s BHB Carbs','wmn','include',PK95-SC-50,'IPL-CI-4842 PK95-SC-50',4469,'4/13/2026 9:06:40 AM',90,-8.557036973,-1.008484271,1.852723999,-2.139911846,-0.528300787,-4.360179596,-25.6469104,-0.340171345,-0.099573111,-23.48239814,-0.339468022,-0.099834408,-14.8325906,-8.835819657,-8.993835505,0.580749385,0.585660906,0.589291332,0.256768129,0.263373779,0.27390497,2.666678038,1.441163045,0.831146574,32.1019118,30.29435704,28.9787249
4474,'Sample','Matthew''s BHB Carbs','wmn','include',PK95-SC-179,'IPL-CI-4850 PK95-SC-179',4474,'4/14/2026 4:17:21 PM',90,-7.071136677,-0.308158808,3.279230174,-1.437955518,1.636826533,-3.011620418,-19.54301265,-0.331907131,-0.133837681,-20.20062651,-0.334085558,-0.133898178,-13.6087966,-7.349919362,-8.299156793,0.586838246,0.591605856,0.595120341,0.216975794,0.223450321,0.232044557,1.623078446,0.981730574,2.642369976,29.86581885,28.1488422,26.90168195
4475,'Sample','Matthew''s BHB Carbs','wmn','include',PK95-SC-179,'IPL-CI-4851 PK95-SC-179',4475,'4/15/2026 10:46:39 AM',90,-7.072266026,-0.19521368,3.282214104,-1.325251682,1.763015303,-2.791055342,-18.72471178,-0.322521892,-0.154051728,-19.60840613,-0.324868118,-0.154085556,-13.2924626,-7.35104871,-8.187122347,0.59696371,0.601668798,0.60508112,0.193415721,0.199749679,0.206979145,1.357364142,0.863647665,3.141171171,26.25369975,24.61861052,23.44939603
4478,'Sample','Matthew''s BHB Carbs','wmn','include',PK95-SC-80-n-1,'IPL-CI-4854 PK95-SC-80-n-1',4478,'4/16/2026 2:12:31 PM',90,-9.102978941,-0.045099995,1.371081011,-1.179715894,-0.080124594,-2.483345411,-19.91295764,-0.333954282,-0.124959266,-19.07253385,-0.333847672,-0.124930002,-12.35538893,-9.381761626,-8.038219034,0.58725409,0.591924473,0.595388401,0.22737664,0.234037865,0.243517839,0.579329988,0.515462916,4.705381429,29.7148897,28.03513551,26.80719199
4476,'Sample','Matthew''s BHB Carbs','wmn','include',PK95-SC-179,'IPL-CI-4852 PK95-SC-179',4476,'4/16/2026 9:12:25 AM',90,-7.044833553,-0.266134676,3.305414629,-1.39596548,1.708487416,-2.824210321,-12.94884837,-0.32561148,-0.034294125,-13.71375731,-0.327885,-0.034305851,-9.345956143,-7.323616237,-8.257471504,0.59370048,0.598394286,0.601824564,0.333108125,0.340474154,0.356286634,-1.971425179,-0.609578886,9.131713127,27.40367086,25.75370597,24.56493651
