"time_kyr_j2000","age_ma","eccentricity","obliquity_rad","precession_angle_rad","longitude_perihelion_rad","climatic_precession"
-53083,53.083,0.0165448085021087,0.407716766949981,0.632164248375002,-15464.9483660878,-0.014821883498121
-53082,53.082,0.016705378463014,0.40942937902604,0.382821205994053,-15464.6964018277,-0.016333943453659
-53081,53.081,0.0168833497529401,0.411054160167943,0.134271688419946,-15464.4447242955,-0.016851006686196
-53080,53.08,0.0171018580559347,0.412545379067511,-0.113536103594904,-15464.1905676162,-0.016320631930593
-53079,53.079,0.0173163221315647,0.413874346197159,-0.360697374730145,-15463.9343270311,-0.0147094625244877
-53078,53.078,0.017556652339982,0.41499595510336,-0.607268898955015,-15463.6777348523,-0.012061117339333
-53077,53.077,0.0178085168288508,0.415899049399128,-0.853384873587387,-15463.4192542035,-0.00853979565429285
-53076,53.076,0.0180733542516654,0.416544669063175,-1.09913298076427,-15463.1579161337,-0.00426782566275299
-53075,53.075,0.0183155316782794,0.41693568143947,-1.34464526864917,-15462.8954838944,0.000431991735016038
-53074,53.074,0.0185816178461993,0.417045586450163,-1.59003639757471,-15462.6317348582,0.00526050511255953
-53073,53.073,0.0188410786672321,0.416888610733948,-1.83543151045208,-15462.3651096739,0.0099074023790145
-53072,53.072,0.0190741870256913,0.416452034492543,-2.08096163039716,-15462.0972560639,0.0139497406172369
-53071,53.071,0.0192973394759018,0.41576210178081,-2.32673086664617,-15461.8276479334,0.0171139118779156
-53070,53.07,0.0195287688307659,0.414821756676989,-2.57287864171173,-15461.5565471907,0.0190845417081965
-53069,53.069,0.0197334430087681,0.41366241368517,-2.81949054354166,-15461.2824236872,0.0196709140773063
-53068,53.068,0.0199158006214277,0.412308022322896,-3.06667722256345,-15461.0084002157,0.018747194439393
-53067,53.067,0.0201079203738241,0.410793098169294,2.96867644476464,-15460.7327148386,0.0164008845733193
-53066,53.066,0.0202602220651112,0.409150527762715,2.72011508482712,-15460.453862717,0.0126635338090866
-53065,53.065,0.0203850364860891,0.407420532751816,2.4707908298716,-15460.1753125113,0.00789331860290379
-53064,53.064,0.0204936742028654,0.405641661536587,2.22063745916695,-15459.8944312005,0.00238779586838868
-53063,53.063,0.0205905043823627,0.403856022256284,1.9696618968517,-15459.6127693725,-0.00337113871410047
-53062,53.062,0.0206434976617605,0.402104852957098,1.71785771163205,-15459.3290630853,-0.0089433767502049
-53061,53.061,0.0206787732743253,0.400427270395755,1.46523654821937,-15459.0459807805,-0.0137939585303805
-53060,53.06,0.0207352464126953,0.398863409309202,1.21184793921487,-15458.7607524687,-0.0176142922677085
-53059,53.059,0.0207116573515334,0.397451720780753,0.957733319731008,-15458.4743128865,-0.0199416079651143
-53058,53.058,0.0207134709529499,0.396220958299422,0.702986089457817,-15458.1877216012,-0.0206856645659841
-53057,53.057,0.0206618994166121,0.395206001637696,0.447684655351585,-15457.9008120907,-0.0196766636162734
-53056,53.056,0.0206222452093513,0.394426609119863,0.191942584533284,-15457.6121876755,-0.0170734606374972
-53055,53.055,0.0205146881428345,0.39390788184928,-0.0641276780154502,-15457.3233995847,-0.0130005496768202
-53054,53.054,0.0204283500308575,0.393649243047844,-0.320389977897691,-15457.0365117844,-0.00796221094171918
-53053,53.053,0.0203506442804971,0.393668843381144,-0.576719994464319,-15456.7479023884,-0.00227304861541383
-53052,53.052,0.0202270135653636,0.393960677144603,-0.832982062710216,-15456.4602170615,0.0035289421738217
-53051,53.051,0.0201042879717341,0.394518062842621,-1.08904665441265,-15456.1726734021,0.00897138506370185
-53050,53.05,0.0199734854564344,0.395327967633678,-1.34478680298884,-15455.8867208461,0.0135805026818484
-53049,53.049,0.0198240766531941,0.396368926899841,-1.6000931808425,-15455.5992980697,0.0170477666081575
-53048,53.048,0.0196536506917443,0.397622922995062,-1.85484956780044,-15455.3145382565,0.0190180010197192
-53047,53.047,0.0194901333092471,0.399053514091042,-2.10898034160634,-15455.0302175768,0.01945877624571
-53046,53.046,0.0193327521557162,0.400632412124925,-2.36239791391817,-15454.7467206048,0.0183377626807631
-53045,53.045,0.0191429840707617,0.402319778548654,-2.61506354663832,-15454.4636212325,0.0157728138064626
