MLA_horizon_id,strat_height_m,data_combo,has_IPL17O,IPL17O_n_analyses,IPL17O_mean_Dp17Ocarb,IPL17O_sd_Dp17Ocarb,IPL17O_se_Dp17Ocarb,IPL17O_mean_d18Ocarb,has_IPLD47,IPLD47_n_T47,IPLD47_mean_T47_C,IPLD47_sd_T47_C,IPLD47_se_T47_C,IPLD47_range_T47_C,IPLD47_sessions,has_CUD47,CU_sample_id,CU_mean_T47_C,CU_2se_T47_C,has_any_D47
PB-00-02-20,1547.2,No IPL/CU isotope data,FALSE,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,FALSE
PB-00-04-03,1548.4,No IPL/CU isotope data,FALSE,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,FALSE
PK95-SC-67-8,1548.9,No IPL/CU isotope data,FALSE,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,FALSE
PB-00-02-21,1549,CU D47 only,FALSE,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,TRUE,PB-00-02-21,31.7,NA,TRUE
PB-00-04-04,1549.5,No IPL/CU isotope data,FALSE,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,FALSE
PB-00-04-05,1553.7,No IPL/CU isotope data,FALSE,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,FALSE
PB-00-02-22,1554.2,No IPL/CU isotope data,FALSE,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,FALSE
PB-00-04-06,1554.3,No IPL/CU isotope data,FALSE,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,FALSE
PB-00-04-08,1558.6,No IPL/CU isotope data,FALSE,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,FALSE
PB-00-02-23,1559.4,No IPL/CU isotope data,FALSE,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,FALSE
PB-00-04-09,1559.5,No IPL/CU isotope data,FALSE,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,FALSE
PK95-SC-67-9,1559.6,No IPL/CU isotope data,FALSE,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,FALSE
PB-00-04-10,1562.4,No IPL/CU isotope data,FALSE,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,FALSE
PB-00-04-11,1568.2,IPL 17O only,TRUE,2,-109.9248722,1.386430135,0.98035415,22.09292289,FALSE,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,FALSE
PB-00-04-12,1568.6,No IPL/CU isotope data,FALSE,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,FALSE
PK95-SC-4,1570,IPL D47 only,FALSE,NA,NA,NA,NA,NA,TRUE,2,35.15,1.48492424,1.05,2.1,Session 2,FALSE,NA,NA,NA,TRUE
