Koch_Sample,section,Locality,MLA_sample_id,MLA_horizon_id,strat_height_m,d13C_VPDB,d18Ocarb_VPDB,d18Ocarb_VSMOW
SC 67-2-1A,CFB,SC 67,PK95-SC-67-2,PK95-SC-67-2,1511.1,-10,-8.85,21.79
SC 67-2-2,CFB,SC 67,PK95-SC-67-2,PK95-SC-67-2,1511.1,-9.74,-8.56,22.09
SC 67-3-1A,CFB,SC 67,PK95-SC-67-3,PK95-SC-67-3,1520,-13.91,-7.55,23.13
SC 67-3-1B,CFB,SC 67,PK95-SC-67-3,PK95-SC-67-3,1520,-14.21,-8.15,22.51
SC 67-3-2A,CFB,SC 67,PK95-SC-67-3,PK95-SC-67-3,1520,-14.43,-7.56,23.12
SC 67-3-2B,CFB,SC 67,PK95-SC-67-3,PK95-SC-67-3,1520,-14.37,-7.54,23.14
SC 67-4-1C,CFB,SC 67,PK95-SC-67,PK95-SC-68,1524,-14.13,-9.02,21.61
SC 80-1,CFB,SC 80,PK95-SC-80,PK95-SC-80,1495,-8.53,-7.94,22.72
SC 85,CFB,SC 85,PK95-SC-85,PK95-SC-85,860,-7.55,-8.34,22.31
SC 92-1,CFB,SC 92,PK95-SC-92,PK95-SC-92,1210,-7.82,-7.87,22.8
SC 93-1,CFB,SC 93,PK95-SC-93,PK95-SC-93,1250,-9.87,-8.68,21.96
