Bowen_Soil_ID,Bowen_Sample_ID,MLA_sample_id,MLA_horizon_id,strat_height_m,d13C_VPDB,d18Ocarb_VPDB,d18Ocarb_VSMOW
PB-00-02-09,2B,PB-00-02-09L-2B,PB-00-02-09L,1530.5,-12.9,-10.7,19.889156
PB-00-02-09,2C,PB-00-02-09L-2C,PB-00-02-09L,1530.5,-12.7,-8.4,22.260272
PB-00-02-09U,1A,PB-00-02-09U-1A,PB-00-02-09U,1531,-13.9,-8.9,21.744812
PB-00-02-09U,1B,PB-00-02-09U-1B,PB-00-02-09U,1531,-13.9,-8.8,21.847904
PB-00-02-09U,2A,PB-00-02-09U-2A,PB-00-02-09U,1531,-13.4,-8.8,21.847904
PB-00-02-09U,2B,PB-00-02-09U-2B,PB-00-02-09U,1531,-13.8,-8.9,21.744812
PB-00-02-10,1A,PB-00-02-10-1A,PB-00-02-10,1531.6,-13.9,-8,22.67264
PB-00-02-10,1B,PB-00-02-10-1B,PB-00-02-10,1531.6,-13.7,-8.2,22.466456
PB-00-02-10,2A,PB-00-02-10-2A,PB-00-02-10,1531.6,-13.8,-8.2,22.466456
PB-00-02-10,2B,PB-00-02-10-2B,PB-00-02-10,1531.6,-14,-8.1,22.569548
PB-00-02-11,1A,PB-00-02-11-1A,PB-00-02-11,1532.2,-13.8,-8,22.67264
PB-00-02-11,1B,PB-00-02-11-1B,PB-00-02-11,1532.2,-14.5,-9.8,20.816984
PB-00-02-11,1C,PB-00-02-11-1C,PB-00-02-11,1532.2,-13.7,-7.9,22.775732
PB-00-02-11,2A,PB-00-02-11-2A,PB-00-02-11,1532.2,-13.8,-8,22.67264
PB-00-02-11,2B,PB-00-02-11-2B,PB-00-02-11,1532.2,-13.8,-8.2,22.466456
PB-00-02-12,12B-1A,PB-00-02-12B-1A,PB-00-02-12B,1533,-12.9,-8.8,21.847904
PB-00-02-12,12B-1B,PB-00-02-12B-1B,PB-00-02-12B,1533,-13.2,-8.6,22.054088
PB-00-02-12,12B-2A,PB-00-02-12B-2A,PB-00-02-12B,1533,-12.3,-8.9,21.744812
PB-00-02-12,12B-2B,PB-00-02-12B-2B,PB-00-02-12B,1533,-12.5,-9.1,21.538628
PB-00-02-12,12A-1A,PB-00-02-12A-1A,PB-00-02-12A,1533.5,-14.3,-10,20.6108
PB-00-02-12,12A-1B,PB-00-02-12A-1B,PB-00-02-12A,1533.5,-14.1,-9.3,21.332444
PB-00-02-12,12A-2A,PB-00-02-12A-2A,PB-00-02-12A,1533.5,-14.2,-9.4,21.229352
PB-00-02-12,12A-2B,PB-00-02-12A-2B,PB-00-02-12A,1533.5,-14.2,-9.4,21.229352
PB-00-02-13,1A,PB-00-02-13-1A,PB-00-02-13,1534.8,-13.3,-8.1,22.569548
PB-00-02-13,1B,PB-00-02-13-1B,PB-00-02-13,1534.8,-13.2,-8.2,22.466456
PB-00-02-14,2A,PB-00-02-14-2A,PB-00-02-14,1537,-12.8,-9.1,21.538628
PB-00-02-14,2B,PB-00-02-14-2B,PB-00-02-14,1537,-12.5,-9.4,21.229352
PB-00-02-14,1A,PB-00-02-14-1A,PB-00-02-14,1537,-13.1,-8.6,22.054088
PB-00-02-14,1B,PB-00-02-14-1B,PB-00-02-14,1537,-13.6,-8.8,21.847904
PB-00-02-15,1A,PB-00-02-15-1A,PB-00-02-15,1538.7,-12.8,-9.9,20.713892
PB-00-02-15,1B,PB-00-02-15-1B,PB-00-02-15,1538.7,-13.4,-10,20.6108
PB-00-02-15,2A,PB-00-02-15-2A,PB-00-02-15,1538.7,-13.3,-9.2,21.435536
PB-00-02-15,2B,PB-00-02-15-2B,PB-00-02-15,1538.7,-13.5,-9.7,20.920076
PB-00-02-17,1A,PB-00-02-17-1A,PB-00-02-17,1543,-10.3,-8.7,21.950996
PB-00-02-17,1B,PB-00-02-17-1B,PB-00-02-17,1543,-10.1,-8.4,22.260272
PB-00-02-17,2A,PB-00-02-17-2A,PB-00-02-17,1543,-11.2,-8.6,22.054088
PB-00-02-17,2B,PB-00-02-17-2B,PB-00-02-17,1543,-10.9,-8.1,22.569548
PB-00-02-18,1A,PB-00-02-18-1A,PB-00-02-18,1543.9,-10.2,-9.3,21.332444
PB-00-02-18,1B,PB-00-02-18-1B,PB-00-02-18,1543.9,-10.1,-8.9,21.744812
PB-00-02-18,2A,PB-00-02-18-2A,PB-00-02-18,1543.9,-10.2,-9.1,21.538628
PB-00-02-18,2B,PB-00-02-18-2B,PB-00-02-18,1543.9,-10.2,-9.3,21.332444
PB-00-02-19,1A,PB-00-02-19-1A,PB-00-02-19,1545.1,-10.1,-8.7,21.950996
PB-00-02-19,1B,PB-00-02-19-1B,PB-00-02-19,1545.1,-9.7,-8.8,21.847904
PB-00-02-19,2A,PB-00-02-19-2A,PB-00-02-19,1545.1,-10.4,-9.4,21.229352
PB-00-02-19,2B,PB-00-02-19-2B,PB-00-02-19,1545.1,-10.2,-9.3,21.332444
PB-00-02-20,1A,PB-00-02-20-1A,PB-00-02-20,1547.2,-9.5,-9.6,21.023168
PB-00-02-20,1B,PB-00-02-20-1B,PB-00-02-20,1547.2,-9.6,-9.6,21.023168
PB-00-02-20,2A,PB-00-02-20-2A,PB-00-02-20,1547.2,-9.8,-9.7,20.920076
PB-00-02-20,2B,PB-00-02-20-2B,PB-00-02-20,1547.2,-9.8,-9.7,20.920076
PB-00-02-21,1A,PB-00-02-21-1A,PB-00-02-21,1549,-9.7,-10.1,20.507708
PB-00-02-21,1B,PB-00-02-21-1B,PB-00-02-21,1549,-9.7,-9.8,20.816984
PB-00-02-21,2B,PB-00-02-21-2B,PB-00-02-21,1549,-9.6,-9.7,20.920076
PB-00-02-21,2C,PB-00-02-21-2C,PB-00-02-21,1549,-9.7,-8.9,21.744812
PB-00-02-22,1A,PB-00-02-22-1A,PB-00-02-22,1554.2,-9.2,-9,21.64172
PB-00-02-22,1B,PB-00-02-22-1B,PB-00-02-22,1554.2,-8.8,-8.9,21.744812
PB-00-02-22,2A,PB-00-02-22-2A,PB-00-02-22,1554.2,-9.6,-9.3,21.332444
PB-00-02-22,2B,PB-00-02-22-2B,PB-00-02-22,1554.2,-8.8,-8.9,21.744812
PB-00-02-23,1A,PB-00-02-23-1A,PB-00-02-23,1559.4,-9.4,-8.7,21.950996
PB-00-02-23,1B,PB-00-02-23-1B,PB-00-02-23,1559.4,-9.4,-8.6,22.054088
PB-00-02-23,2A,PB-00-02-23-2A,PB-00-02-23,1559.4,-8.2,-9,21.64172
PB-00-02-23,2B,PB-00-02-23-2B,PB-00-02-23,1559.4,-8.3,-9.2,21.435536
PB-00-03-02,1A,PB-00-03-02-1A,PB-00-03-02,1480.8,-9.2,-9.6,21.023168
