Counter,IPLnum,Sample_Name,D47_pipeline,T47_pipeline_C,D47_Ben,T47_Ben_C,D47_pipeline_minus_Ben,T47_pipeline_minus_Ben_C
4569,4891,PK95-SC-27,0.559867585447765,40.28018772305444,0.5598675855757567,40.28018767160563,-1.2799161730470132e-10,5.144880788066075e-8
4570,4892,PK95-SC-27,0.5696277092473474,36.42906925350371,0.5696277088557038,36.42906940520072,3.9164360643439977e-10,-1.5169700873229885e-7
4588,4878,PK95-SC-4,0.5701821942707795,36.21452140213597,0.5701821939436921,36.214521528565,3.270874682215208e-10,-1.2642902902371134e-7
4589,4880,PK95-SC-4,0.575631715926357,34.12939185829396,0.5756317159463854,34.12939185070786,-2.0028423364237824e-11,7.586095307487994e-9
4592,4885,PK95-SC-4-SPAR,0.4712983334857387,83.38405796492975,0.4712983339043274,83.38405771726633,-4.185887192420523e-10,2.4766342221482773e-7
4593,4886,PK95-SC-4-SPAR,0.47720181179233756,79.94169329036629,0.47720181143897905,79.94169349343792,3.533585091197722e-10,-2.0307163595134625e-7
4594,4875,PK95-SC-43,0.5958727948195758,26.738241852141357,0.5958727944586186,26.738241979229542,3.609571530560629e-10,-1.2708818530882127e-7
4595,4876,PK95-SC-43,0.6093770800346496,22.09373299644693,0.6093770795205977,22.093733169158043,5.140519121482612e-10,-1.727111111904378e-7
4596,4877,PK95-SC-43,0.5913472086855066,28.344453101241697,0.5913472088882623,28.34445302870091,-2.027557011174963e-10,7.254078582263901e-8
4597,4842,PK95-SC-50,0.5786530367245069,32.991370251386,0.578653036785476,32.99137022854859,-6.096911864261756e-11,2.2837411961518228e-8
4607,4854,PK95-SC-80-n-1,0.5849086434255735,30.674747667962038,0.5849086433781818,30.67474768531372,4.739164616296421e-11,-1.735168098093709e-8
4611,4843,PK95-SC-92,0.6012507037893362,24.862498504357177,0.6012507033343237,24.862498661573625,4.550124721447446e-10,-1.5721644786026445e-7
