lag_kyr,pearson_r,spearman_rho
16,-0.0016880345668787166,-0.0016873489226054451
17,-0.0017170532368487403,-0.0016404896860644108
18,-0.0017210131710773788,-0.0015703250716373697
19,-0.0016944381192907018,-0.0014799334197521242
20,-0.0016354474474071323,-0.0013634202873521752
21,-0.0015455953600657596,-0.001233597013226114
22,-0.0014295165288721028,-0.001100974276966843
23,-0.0012951577169637157,-9.768902257017602e-4
24,-0.0011522504893715702,-8.727242029682396e-4
25,-0.001011464507304837,-7.934717508518595e-4
26,-8.800606953658585e-4,-7.520643109355915e-4
27,-7.790294662534182e-4,-7.239869277959842e-4
28,-7.051760125831913e-4,-7.41381085439052e-4
29,-6.637150964601629e-4,-8.05333670578067e-4
30,-6.678620352405866e-4,-8.719970102632808e-4
31,-7.045852356837106e-4,-9.724170545163288e-4
32,-7.725408463501051e-4,-0.00108458425150915
33,-8.636989249068408e-4,-0.001202211978284721
34,-9.676050233775414e-4,-0.0013124621974328204
35,-0.0010729507352858,-0.0014130935814655424
36,-0.001167984125961191,-0.001499405525474455
37,-0.001242210491612268,-0.001558946078069688
38,-0.001287197889787485,-0.0015882395953425864
39,-0.0012971182344618125,-0.0015876324818736858
40,-0.0012694072856934558,-0.0015668226276037377
41,-0.0012050059501537086,-0.0015223259087047678
42,-0.0011077052258003956,-0.0014628338915854185
43,-9.839565177973846e-4,-0.001391355130590935
44,-8.423085187640385e-4,-0.0013143724105127738
45,-6.922326177453803e-4,-0.0012336493375117747
46,-5.437447140024112e-4,-0.0011522321027260642
47,-4.062326558195446e-4,-0.0010734678288076933
48,-2.877500196957593e-4,-9.987579559724105e-4
49,-1.943156166910313e-4,-9.295077666720304e-4
50,-1.2969898504335047e-4,-8.629192875068228e-4
51,-9.464535727835175e-5,-7.989636178555796e-4
52,-8.756962060559769e-5,-7.28334339337749e-4
53,-1.0439243148643527e-4,-6.527875865339211e-4
54,-1.390541805984312e-4,-5.817762710637798e-4
55,-1.8461382644522647e-4,-5.175458559941742e-4
56,-2.3371790579782172e-4,-4.601756082552198e-4
57,-2.793319687919822e-4,-4.1168962967467977e-4
58,-3.1569310568771116e-4,-3.678613163966552e-4
59,-3.3875011904753476e-4,-3.311483300404399e-4
60,-3.4605941144092475e-4,-3.1369818239583526e-4
61,-3.3736881089624403e-4,-3.174413068249963e-4
62,-3.139839595063828e-4,-3.4829685311699637e-4
63,-2.786420370874828e-4,-4.0400688048059235e-4
64,-2.3512757647937114e-4,-4.7772475269653895e-4
65,-1.8768546487813327e-4,-5.662577581205842e-4
66,-1.40482769527029e-4,-6.617516372748887e-4
67,-9.740292411848315e-5,-7.59915698627003e-4
68,-6.13640714277304e-5,-8.578255137525489e-4
69,-3.413772701801346e-5,-9.518826592603991e-4
70,-1.6520010509682355e-5,-0.0010368125061526224
71,-7.761535313044921e-6,-0.0011063399481406134
72,-6.2953417794863525e-6,-0.0011601315465431276
73,-9.57628033537822e-6,-0.0011900227814762893
74,-1.486954019216059e-5,-0.0011933125648779142
75,-1.8965207419130417e-5,-0.0011700918361289335
76,-1.9725408304833162e-5,-0.0011257907725760357
77,-1.528584374649102e-5,-0.0010657865257458678
78,-5.242843670061792e-6,-0.0010019159006784916
79,9.91637118098984e-6,-9.412350815321922e-4
80,2.858151994323777e-5,-8.8807874353319e-4
81,4.884160649959272e-5,-8.421350354366465e-4
82,6.80571667947132e-5,-8.034498909089633e-4
83,8.428511311158326e-5,-7.732949476080459e-4
84,9.593058956188617e-5,-7.564438015282653e-4
85,1.0264764865945821e-4,-7.52853596585884e-4
86,1.0548943411106717e-4,-7.636090400440057e-4
87,1.0701929191300223e-4,-7.835139366909625e-4
88,1.1080745465772149e-4,-8.064882615202767e-4
89,1.2145402487510384e-4,-8.198433849163859e-4
90,1.43613737010853e-4,-8.13269562052294e-4
91,1.813540719642336e-4,-7.803319674231165e-4
92,2.3781702774114985e-4,-7.247121594783924e-4
93,3.139813353769765e-4,-6.444463314076149e-4
94,4.086077566417036e-4,-5.457574934957927e-4
95,5.179032369895043e-4,-4.3360123900901737e-4
96,6.354469732659145e-4,-3.1371885063048813e-4
97,7.527134714995139e-4,-1.9144488148316611e-4
98,8.597329088526407e-4,-7.232339945379879e-5
99,9.458877785668599e-4,2.953913072661648e-5
100,0.0010009626046879794,1.004932857185328e-4
