T47_C,d18Owater_vsmow,d18Ocarb_vsmow,contour_label
32.5,0,26.925143470885587,starting d18Ow = 0 per mil
32.5,5,32.0597691882399,starting d18Ow = 5 per mil
32.5,10,37.194394905594436,starting d18Ow = 10 per mil
33,-15,11.423820958642636,starting d18Ow = -15 per mil
33,-10,16.557952029498665,starting d18Ow = -10 per mil
33,-5,21.692083100354694,starting d18Ow = -5 per mil
33,0,26.826214171210722,starting d18Ow = 0 per mil
33,5,31.96034524206675,starting d18Ow = 5 per mil
33,10,37.09447631292278,starting d18Ow = 10 per mil
33.5,-15,11.326702713917143,starting d18Ow = -15 per mil
33.5,-10,16.460340798759376,starting d18Ow = -10 per mil
33.5,-5,21.593978883601608,starting d18Ow = -5 per mil
33.5,0,26.727616968443726,starting d18Ow = 0 per mil
33.5,5,31.86125505328596,starting d18Ow = 5 per mil
33.5,10,36.99489313812819,starting d18Ow = 10 per mil
34,-15,11.229909940705056,starting d18Ow = -15 per mil
34,-10,16.363056691673137,starting d18Ow = -10 per mil
34,-5,21.496203442641217,starting d18Ow = -5 per mil
34,0,26.629350193609298,starting d18Ow = 0 per mil
34,5,31.76249694457738,starting d18Ow = 5 per mil
34,10,36.89564369554523,starting d18Ow = 10 per mil
34.5,-15,11.133441006059456,starting d18Ow = -15 per mil
34.5,-10,16.266098067003895,starting d18Ow = -10 per mil
34.5,-5,21.398755127948448,starting d18Ow = -5 per mil
34.5,0,26.531412188892773,starting d18Ow = 0 per mil
34.5,5,31.66406924983744,starting d18Ow = 5 per mil
34.5,10,36.79672631078188,starting d18Ow = 10 per mil
35,-15,11.037294287936561,starting d18Ow = -15 per mil
35,-10,16.169463294474326,starting d18Ow = -10 per mil
35,-5,21.30163230101209,starting d18Ow = -5 per mil
35,0,26.433801307549857,starting d18Ow = 0 per mil
35,5,31.565970314087508,starting d18Ow = 5 per mil
35,10,36.69813932062539,starting d18Ow = 10 per mil
35.5,-15,10.941468175104205,starting d18Ow = -15 per mil
35.5,-10,16.073150754673293,starting d18Ow = -10 per mil
35.5,-5,21.204833334242267,starting d18Ow = -5 per mil
35.5,0,26.336515913811354,starting d18Ow = 0 per mil
35.5,5,31.46819849338044,starting d18Ow = 5 per mil
35.5,10,36.59988107294953,starting d18Ow = 10 per mil
36,-15,10.845961067052144,starting d18Ow = -15 per mil
36,-10,15.977158838966034,starting d18Ow = -10 per mil
36,-5,21.108356610880037,starting d18Ow = -5 per mil
36,0,26.23955438279404,starting d18Ow = 0 per mil
36,5,31.370752154708043,starting d18Ow = 5 per mil
36,10,36.501949926622046,starting d18Ow = 10 per mil
36.5,-15,10.75077137390258,starting d18Ow = -15 per mil
36.5,-10,15.881485949404578,starting d18Ow = -10 per mil
36.5,-5,21.012200524906575,starting d18Ow = -5 per mil
36.5,0,26.142915100408572,starting d18Ow = 0 per mil
36.5,5,31.273629675910797,starting d18Ow = 5 per mil
36.5,10,36.404344251412795,starting d18Ow = 10 per mil
