section_id,MLA_horizon_id,strat_height_m,alteration_likelihood,exclude_from_temp_model,scenario,n_trials,n_valid,fraction_valid,dp18Osoil_mean_permil,D17Osoil_mean_permeg,lambda_mean,d18Oinput_mean_vsmow,d18Oinput_median_vsmow,d18Oinput_sd_vsmow,d18Oinput_lower95_vsmow,d18Oinput_upper95_vsmow
CFB,PK95-SC-187,700,possible,FALSE,passey_ji_lake_published,20000,19997,0.99985,-4.0009643454393515,-28.50597672333321,0.5223888374702852,-14.629502049776633,-14.607518808686493,2.3248615719369026,-19.282468693626654,-10.167145032551085
CFB,PK95-SC-187,700,possible,FALSE,soil_slope_prior,20000,19997,0.99985,-4.0009643454393515,-28.50597672333321,0.5202490728200961,-11.972009778228344,-11.77809845739719,2.623342413044821,-17.701773656324793,-7.398671921460454
CFB,PK95-SC-23,1495,no_indication,FALSE,ben_lake_adjusted,20000,19997,0.99985,-6.071395160498614,-19.733922845341738,0.5234145848733047,-17.140805500754404,-17.08583362692351,2.5130756223845854,-22.18504768749091,-12.328878451122604
CFB,PK95-SC-23,1495,no_indication,FALSE,passey_ji_lake_published,20000,19997,0.99985,-6.071395160498614,-19.733922845341738,0.5227145848733047,-15.653468115393464,-15.627998842322356,2.2398394196110534,-20.07030160561399,-11.297843881456506
CFB,PK95-SC-23,1495,no_indication,FALSE,soil_slope_prior,20000,19997,0.99985,-6.071395160498614,-19.733922845341738,0.5202505246873418,-12.855638902924571,-12.647214852420486,2.3992256432652526,-18.22774759246376,-8.69887133516272
CFB,PK95-SC-246,520,moderate,FALSE,ben_lake_adjusted,20000,19998,0.9999,-5.115769506304561,-28.246975813674197,0.5230946405426524,-17.21326059068178,-17.125913187472754,2.4430338965811025,-22.199864692643402,-12.637921266429078
CFB,PK95-SC-246,520,moderate,FALSE,passey_ji_lake_published,20000,19998,0.9999,-5.115769506304561,-28.246975813674197,0.5223946405426524,-15.685155286266786,-15.633266993387519,2.1714645546900604,-20.065983071505734,-11.535334965372606
CFB,PK95-SC-246,520,moderate,FALSE,soil_slope_prior,20000,19998,0.9999,-5.115769506304561,-28.246975813674197,0.5202630733053976,-13.045128117220548,-12.783649522078111,2.5298996946237335,-18.748430216955512,-8.768440303149536
CFB,PK95-SC-27,1525,high,FALSE,ben_lake_adjusted,20000,19998,0.9999,-2.307443700898061,-22.915419978777056,0.5232857714443193,-13.790734271188086,-13.75333140520818,2.5252577041110933,-18.878268312488643,-8.920419793976476
CFB,PK95-SC-27,1525,high,FALSE,passey_ji_lake_published,20000,19998,0.9999,-2.307443700898061,-22.915419978777056,0.5225857714443193,-12.288366480615398,-12.260936894448681,2.2573051244521207,-16.79849382122311,-7.8917852122946694
CFB,PK95-SC-27,1525,high,FALSE,soil_slope_prior,20000,19998,0.9999,-2.307443700898061,-22.915419978777056,0.5202437631735086,-9.54099409912077,-9.33830157245924,2.4851926112119322,-15.047119630903824,-5.24340599158324
CFB,PK95-SC-279,680,high,FALSE,ben_lake_adjusted,20000,19999,0.99995,-3.258303922288485,-28.22767839852948,0.5230876984020756,-15.387971600215591,-15.33050318771334,2.4339949748390937,-20.355131281710737,-10.71330361767338
CFB,PK95-SC-279,680,high,FALSE,passey_ji_lake_published,20000,19999,0.99995,-3.258303922288485,-28.22767839852948,0.5223876984020756,-13.859738004128822,-13.822602346212909,2.1525999100602866,-18.19309750991478,-9.695050006152696
CFB,PK95-SC-279,680,high,FALSE,soil_slope_prior,20000,19999,0.99995,-3.258303922288485,-28.22767839852948,0.5202471234687787,-11.195401173563248,-10.943728679202902,2.4675562336849204,-16.85030808416742,-7.03527657134378
CFB,PK95-SC-3,1935,no_indication,FALSE,ben_lake_adjusted,20000,19975,0.99875,-6.440268142844507,-12.599822914182324,0.5237196928875788,-16.63374180913038,-16.646490909398626,2.546380483169851,-21.598861072825834,-11.566621687001842
CFB,PK95-SC-3,1935,no_indication,FALSE,passey_ji_lake_published,20000,19975,0.99875,-6.440268142844507,-12.599822914182324,0.5230196928875788,-15.170683194836952,-15.20244361030121,2.2580583609139944,-19.521150232564096,-10.591715670778786
CFB,PK95-SC-3,1935,no_indication,FALSE,soil_slope_prior,20000,19975,0.99875,-6.440268142844507,-12.599822914182324,0.5202394105565955,-12.288132513095196,-12.123472385248135,2.2944775685121916,-17.27853777914708,-8.218665280798929
CFB,PK95-SC-303,2110,no_indication,FALSE,ben_lake_adjusted,20000,19990,0.9995,-5.69200599631631,-21.009648093334718,0.5233662227892599,-16.918946454603258,-16.867862671556487,2.616126330760443,-22.211121041516904,-11.839088334952482
CFB,PK95-SC-303,2110,no_indication,FALSE,passey_ji_lake_published,20000,19990,0.9995,-5.69200599631631,-21.009648093334718,0.5226662227892599,-15.42498823886552,-15.394578420214689,2.350281753809943,-20.086813618756096,-10.796285417394023
CFB,PK95-SC-303,2110,no_indication,FALSE,soil_slope_prior,20000,19990,0.9995,-5.69200599631631,-21.009648093334718,0.5202529325706193,-12.668318621826954,-12.452492700229133,2.5955209354631044,-18.470543241534966,-8.1555550034527
CFB,PK95-SC-31,1760,no_indication,FALSE,ben_lake_adjusted,20000,20000,1,-5.940148787415799,-33.092052656571546,0.5229415677243948,-18.62665192260092,-18.53596597625068,2.49273908005423,-23.79905365157296,-13.957481650923086
CFB,PK95-SC-31,1760,no_indication,FALSE,passey_ji_lake_published,20000,20000,1,-5.940148787415799,-33.092052656571546,0.5222415677243948,-17.069899880602463,-17.004514216305942,2.2131315305275714,-21.590221987980858,-12.850623356061151
CFB,PK95-SC-31,1760,no_indication,FALSE,soil_slope_prior,20000,20000,1,-5.940148787415799,-33.092052656571546,0.5202347725756191,-14.468478869219993,-14.218103055772978,2.5912096226152754,-20.523143346555283,-10.073242298211305
CFB,PK95-SC-43,1600,no_indication,FALSE,ben_lake_adjusted,20000,19980,0.999,-8.525203292841008,-15.573885082012392,0.5235945833271739,-19.033430201183155,-19.01930490365783,2.9595701026649572,-24.81174136988104,-13.222219313718348
CFB,PK95-SC-43,1600,no_indication,FALSE,passey_ji_lake_published,20000,19980,0.999,-8.525203292841008,-15.573885082012392,0.5228945833271739,-17.562461988433338,-17.568782311309874,2.7100902144941577,-22.852414680964145,-12.218488905938177
CFB,PK95-SC-43,1600,no_indication,FALSE,soil_slope_prior,20000,19980,0.999,-8.525203292841008,-15.573885082012392,0.5202600607667783,-14.742516021320855,-14.599328454917071,2.790998071276195,-20.68997375310094,-9.615104089907568
CFB,PK95-SC-50,1425,no_indication,FALSE,ben_lake_adjusted,20000,20000,1,-6.386959054001587,-60.81498348319546,0.5223609918222035,-22.65193300309909,-22.506081509072075,2.6389518598714767,-28.26930335459558,-17.861039081100007
CFB,PK95-SC-50,1425,no_indication,FALSE,passey_ji_lake_published,20000,20000,1,-6.386959054001587,-60.81498348319546,0.5216609918222035,-20.845473068826323,-20.735415859734985,2.3096696524560114,-25.674746178167418,-16.610452457753194
CFB,PK95-SC-50,1425,no_indication,FALSE,soil_slope_prior,20000,20000,1,-6.386959054001587,-60.81498348319546,0.5202528822465361,-18.540148946774334,-18.149687816178037,2.980563025023663,-25.52318266946764,-13.785408201075418
CFB,PK95-SC-6,1530,possible,FALSE,ben_lake_adjusted,20000,19998,0.9999,-4.070210374159572,-23.0307446414204,0.5232778984229012,-15.551909909821761,-15.501952989647016,2.453381982211432,-20.53187542311389,-10.839295847877004
CFB,PK95-SC-6,1530,possible,FALSE,passey_ji_lake_published,20000,19998,0.9999,-4.070210374159572,-23.0307446414204,0.5225778984229011,-14.05107020132725,-14.041775237545906,2.174181225046748,-18.40531154681889,-9.797758561512973
CFB,PK95-SC-6,1530,possible,FALSE,soil_slope_prior,20000,19998,0.9999,-4.070210374159572,-23.0307446414204,0.5202510554792296,-11.31735661609607,-11.088776552669987,2.4256117248345754,-16.814880981764997,-7.196312147401928
CFB,PK95-SC-63,1910,no_indication,FALSE,ben_lake_adjusted,20000,19990,0.9995,-9.1949849421907075,-17.64719119913893,0.5235007114211423,-19.943211224726348,-19.89360935639001,2.4724367010880033,-24.916144924028686,-15.133923369009741
CFB,PK95-SC-63,1910,no_indication,FALSE,passey_ji_lake_published,20000,19990,0.9995,-9.1949849421907075,-17.64719119913893,0.5228007114211423,-18.468728812709855,-18.451487868073492,2.190124132716538,-22.833507395348207,-14.120059134289102
CFB,PK95-SC-63,1910,no_indication,FALSE,soil_slope_prior,20000,19990,0.9995,-9.1949849421907075,-17.64719119913893,0.5202430749230826,-15.663528167837674,-15.470626714701895,2.357596297277433,-21.03412891200152,-11.587413031615917
CFB,PK95-SC-92,1210,no_indication,FALSE,ben_lake_adjusted,20000,19947,0.99735,-8.367100726711822,-23.051714595682725,0.5233446751410488,-19.80865462503524,-19.789813482596784,3.3399982885266355,-25.662618106496428,-14.012455341417722
CFB,PK95-SC-92,1210,no_indication,FALSE,passey_ji_lake_published,20000,19948,0.9974,-8.367100726711822,-23.051714595682725,0.5226449094952582,-18.276316567465933,-18.29346541840049,2.651708130647284,-23.482700362785838,-12.946266649907617
CFB,PK95-SC-92,1210,no_indication,FALSE,soil_slope_prior,20000,19948,0.9974,-8.367100726711822,-23.051714595682725,0.520251823884481,-15.566789895535637,-15.35086716748546,2.9204367427693154,-22.05856988057962,-10.457644343786532
