site,basin,sample_label,depth_mbsf,depth_composite_rmcd,Age_Ma,d13C_benthic_vpdb,d18O_benthic_vpdb,source_record,dataset_doi,article_doi
ODP Site 1209,Pacific,"198-1209C-10H-2,35-37",185.35,205.421,52.610038,0.008,-0.489,this study,10.1594/PANGAEA.883334,10.1029/2017PA003306
ODP Site 1209,Pacific,"198-1209A-20H-5,115-117",186.35,205.51,52.626188,-0.098,-0.557,this study,10.1594/PANGAEA.883334,10.1029/2017PA003306
ODP Site 1209,Pacific,"198-1209C-10H-2,45-47",185.45,205.527,52.629203000000004,-0.319,-0.627,this study,10.1594/PANGAEA.883334,10.1029/2017PA003306
ODP Site 1209,Pacific,"198-1209A-20H-5,117-119",186.38,205.54,52.631508000000004,-0.0403,-0.7865,this study,10.1594/PANGAEA.883334,10.1029/2017PA003306
ODP Site 1209,Pacific,"198-1209A-20H-5,125-127",186.45,205.61,52.643921999999996,-0.143,-0.679,this study,10.1594/PANGAEA.883334,10.1029/2017PA003306
ODP Site 1209,Pacific,"198-1209C-10H-2,55-57",185.55,205.634,52.648178,-0.187,-0.586,this study,10.1594/PANGAEA.883334,10.1029/2017PA003306
ODP Site 1209,Pacific,"198-1209A-20H-5,135-137",186.55,205.71,52.661654999999996,-0.234,-0.723,this study,10.1594/PANGAEA.883334,10.1029/2017PA003306
ODP Site 1209,Pacific,"198-1209C-10H-2,65-67",185.65,205.741,52.667152,-0.081,-0.587,this study,10.1594/PANGAEA.883334,10.1029/2017PA003306
ODP Site 1209,Pacific,"198-1209A-20H-5,145-147",186.65,205.81,52.679387999999996,0.039,-0.546,this study,10.1594/PANGAEA.883334,10.1029/2017PA003306
ODP Site 1209,Pacific,"198-1209C-10H-2,75-77",185.75,205.849,52.686304,-0.032,-0.529,this study,10.1594/PANGAEA.883334,10.1029/2017PA003306
ODP Site 1209,Pacific,"198-1209A-20H-6,5-7",186.75,205.91,52.697120999999996,-0.095,-0.63,this study,10.1594/PANGAEA.883334,10.1029/2017PA003306
ODP Site 1209,Pacific,"198-1209C-10H-2,85-87",185.85,205.957,52.705456,-0.088,-0.69,this study,10.1594/PANGAEA.883334,10.1029/2017PA003306
ODP Site 1209,Pacific,"198-1209A-20H-6,9-11",186.8,205.96,52.705988,0.3095,-0.8807,this study,10.1594/PANGAEA.883334,10.1029/2017PA003306
ODP Site 1209,Pacific,"198-1209A-20H-6,15-17",186.85,206.01,52.714854,-0.355,-0.791,this study,10.1594/PANGAEA.883334,10.1029/2017PA003306
ODP Site 1209,Pacific,"198-1209C-10H-2,95-97",185.95,206.065,52.724608,0.113,-0.615,this study,10.1594/PANGAEA.883334,10.1029/2017PA003306
ODP Site 1209,Pacific,"198-1209A-20H-6,25-27",186.95,206.11,52.73258800000001,-0.333,-0.696,this study,10.1594/PANGAEA.883334,10.1029/2017PA003306
ODP Site 1209,Pacific,"198-1209C-10H-2,105-107",186.05,206.172,52.743582,0.116,-0.583,this study,10.1594/PANGAEA.883334,10.1029/2017PA003306
ODP Site 1209,Pacific,"198-1209A-20H-6,35-37",187.05,206.21,52.749956,-0.051,-0.571,this study,10.1594/PANGAEA.883334,10.1029/2017PA003306
ODP Site 1209,Pacific,"198-1209A-20H-6,40-42",187.11,206.27,52.759868000000004,-0.3061,-1.3985,this study,10.1594/PANGAEA.883334,10.1029/2017PA003306
ODP Site 1209,Pacific,"198-1209C-10H-2,115-117",186.15,206.281,52.761685,-0.008,-0.727,this study,10.1594/PANGAEA.883334,10.1029/2017PA003306
ODP Site 1209,Pacific,"198-1209A-20H-6,45-47",187.15,206.31,52.766475,-0.026,-0.512,this study,10.1594/PANGAEA.883334,10.1029/2017PA003306
ODP Site 1209,Pacific,"198-1209A-20H-6,51-53",187.22,206.382,52.778038,-0.2897,-0.998,this study,10.1594/PANGAEA.883334,10.1029/2017PA003306
ODP Site 1209,Pacific,"198-1209C-10H-2,125-127",186.25,206.4,52.781341999999995,-0.765,-0.486,this study,10.1594/PANGAEA.883334,10.1029/2017PA003306
ODP Site 1209,Pacific,"198-1209A-20H-6,55-57",187.25,206.41,52.782994,-0.149,-0.575,this study,10.1594/PANGAEA.883334,10.1029/2017PA003306
ODP Site 1209,Pacific,"198-1209A-20H-6,59-61",187.3,206.463,52.791253,-0.1953,-0.7655,this study,10.1594/PANGAEA.883334,10.1029/2017PA003306
ODP Site 1209,Pacific,"198-1209A-20H-6,65-67",187.35,206.51,52.799512,-0.397,-0.724,this study,10.1594/PANGAEA.883334,10.1029/2017PA003306
ODP Site 1209,Pacific,"198-1209C-10H-2,135-137",186.35,206.52,52.801164,-0.045,-0.833,this study,10.1594/PANGAEA.883334,10.1029/2017PA003306
ODP Site 1209,Pacific,"198-1209A-20H-6,69-71",187.4,206.564,52.807772,-0.3446,-0.748,this study,10.1594/PANGAEA.883334,10.1029/2017PA003306
ODP Site 1209,Pacific,"198-1209A-20H-6,75-77",187.45,206.61,52.816031,-0.283,-0.663,this study,10.1594/PANGAEA.883334,10.1029/2017PA003306
ODP Site 1209,Pacific,"198-1209C-10H-2,145-147",186.45,206.624,52.818343999999996,0.003,-0.63,this study,10.1594/PANGAEA.883334,10.1029/2017PA003306
ODP Site 1209,Pacific,"198-1209A-20H-6,85-87",187.55,206.71,52.832550000000005,-0.456,-0.732,this study,10.1594/PANGAEA.883334,10.1029/2017PA003306
ODP Site 1209,Pacific,"198-1209C-10H-3,5-7",186.55,206.712,52.832879999999996,-0.751,-1.209,this study,10.1594/PANGAEA.883334,10.1029/2017PA003306
ODP Site 1209,Pacific,"198-1209C-10H-3,15-17",186.65,206.8,52.854711,-0.869,-1.14,this study,10.1594/PANGAEA.883334,10.1029/2017PA003306
ODP Site 1209,Pacific,"198-1209A-20H-6,95-97",187.65,206.811,52.857440000000004,-0.932,-1.021,this study,10.1594/PANGAEA.883334,10.1029/2017PA003306
ODP Site 1209,Pacific,"198-1209C-10H-3,25-27",186.75,206.888,52.876542,-0.373,-1.152,this study,10.1594/PANGAEA.883334,10.1029/2017PA003306
ODP Site 1209,Pacific,"198-1209A-20H-6,105-107",187.75,206.92,52.884038999999994,-0.428,-0.701,this study,10.1594/PANGAEA.883334,10.1029/2017PA003306
ODP Site 1209,Pacific,"198-1209C-10H-3,35-37",186.85,206.976,52.895454,-0.481,-0.21,this study,10.1594/PANGAEA.883334,10.1029/2017PA003306
ODP Site 1209,Pacific,"198-1209A-20H-6,115-117",187.85,207.01,52.902385,-0.338,-0.855,this study,10.1594/PANGAEA.883334,10.1029/2017PA003306
ODP Site 1209,Pacific,"198-1209C-10H-3,45-47",186.95,207.063,52.913188999999996,-0.29,-0.828,this study,10.1594/PANGAEA.883334,10.1029/2017PA003306
ODP Site 1209,Pacific,"198-1209A-20H-6,125-127",187.95,207.1,52.920732,-0.366,-0.681,this study,10.1594/PANGAEA.883334,10.1029/2017PA003306
ODP Site 1209,Pacific,"198-1209C-10H-3,55-57",187.05,207.151,52.931127999999994,-0.279,-0.915,this study,10.1594/PANGAEA.883334,10.1029/2017PA003306
ODP Site 1209,Pacific,"198-1209A-20H-6,135-137",188.05,207.19,52.938500999999995,-0.347,-0.56,this study,10.1594/PANGAEA.883334,10.1029/2017PA003306
ODP Site 1209,Pacific,"198-1209C-10H-3,65-67",187.15,207.239,52.947077,-0.058,-0.828,this study,10.1594/PANGAEA.883334,10.1029/2017PA003306
ODP Site 1209,Pacific,"198-1209A-20H-6,145-147",188.15,207.28,52.954252999999994,-0.342,-0.723,this study,10.1594/PANGAEA.883334,10.1029/2017PA003306
ODP Site 1209,Pacific,"198-1209C-10H-3,75-77",187.25,207.327,52.963927000000005,-0.124,-0.769,this study,10.1594/PANGAEA.883334,10.1029/2017PA003306
ODP Site 1209,Pacific,"198-1209B-21H-1,120-122",186.81,207.35,52.968853,-0.2881,-0.9183,this study,10.1594/PANGAEA.883334,10.1029/2017PA003306
ODP Site 1209,Pacific,"198-1209C-10H-3,85-87",187.35,207.414,52.982559,-0.266,-0.932,this study,10.1594/PANGAEA.883334,10.1029/2017PA003306
ODP Site 1209,Pacific,"198-1209B-21H-1,131-133",186.92,207.46,52.992411,-0.1624,-0.7943,this study,10.1594/PANGAEA.883334,10.1029/2017PA003306
ODP Site 1209,Pacific,"198-1209C-10H-3,95-97",187.45,207.502,53.001406,-0.333,-0.964,this study,10.1594/PANGAEA.883334,10.1029/2017PA003306
ODP Site 1209,Pacific,"198-1209B-21H-1,141-143",187.02,207.56,53.013827,-0.2021,-0.7813,this study,10.1594/PANGAEA.883334,10.1029/2017PA003306
ODP Site 1209,Pacific,"198-1209C-10H-3,105-107",187.55,207.589,53.020038,-0.197,-0.821,this study,10.1594/PANGAEA.883334,10.1029/2017PA003306
ODP Site 1209,Pacific,"198-1209B-21H-2,1-3",187.12,207.66,53.035243,-0.2634,-0.8363,this study,10.1594/PANGAEA.883334,10.1029/2017PA003306
ODP Site 1209,Pacific,"198-1209C-10H-3,115-117",187.65,207.675,53.038456,-0.089,-0.783,this study,10.1594/PANGAEA.883334,10.1029/2017PA003306
ODP Site 1209,Pacific,"198-1209B-21H-2,11-13",187.22,207.76,53.05666,-0.511,-1.1244,this study,10.1594/PANGAEA.883334,10.1029/2017PA003306
ODP Site 1209,Pacific,"198-1209C-10H-3,125-127",187.75,207.761,53.056874,-0.173,-0.728,this study,10.1594/PANGAEA.883334,10.1029/2017PA003306
ODP Site 1209,Pacific,"198-1209C-10H-3,135-137",187.85,207.848,53.075506000000004,-0.237,-0.793,this study,10.1594/PANGAEA.883334,10.1029/2017PA003306
ODP Site 1209,Pacific,"198-1209C-10H-3,145-147",187.95,207.934,53.093924,-0.116,-0.594,this study,10.1594/PANGAEA.883334,10.1029/2017PA003306
ODP Site 1209,Pacific,"198-1209C-10H-4,5-7",188.05,208.02,53.112342,-0.361,-0.692,this study,10.1594/PANGAEA.883334,10.1029/2017PA003306
ODP Site 1209,Pacific,"198-1209C-10H-4,15-17",188.15,208.106,53.13076,-0.054,-0.485,this study,10.1594/PANGAEA.883334,10.1029/2017PA003306
ODP Site 1209,Pacific,"198-1209B-21H-2,51-53",187.62,208.16,53.142325,-0.3841,-0.8854,this study,10.1594/PANGAEA.883334,10.1029/2017PA003306
ODP Site 1209,Pacific,"198-1209C-10H-4,25-27",188.25,208.192,53.149178,-0.463,-0.91,this study,10.1594/PANGAEA.883334,10.1029/2017PA003306
ODP Site 1209,Pacific,"198-1209B-21H-2,61-63",187.72,208.26,53.163741,-0.2162,-0.7698,this study,10.1594/PANGAEA.883334,10.1029/2017PA003306
ODP Site 1209,Pacific,"198-1209C-10H-4,35-37",188.35,208.295,53.171237,-0.208,-0.72,this study,10.1594/PANGAEA.883334,10.1029/2017PA003306
ODP Site 1209,Pacific,"198-1209B-21H-2,71-73",187.82,208.36,53.185158,-0.3146,-0.7824,this study,10.1594/PANGAEA.883334,10.1029/2017PA003306
ODP Site 1209,Pacific,"198-1209B-21H-2,81-83",187.92,208.46,53.206574,-0.2879,-0.6737,this study,10.1594/PANGAEA.883334,10.1029/2017PA003306
ODP Site 1209,Pacific,"198-1209B-21H-2,91-93",188.02,208.56,53.222483,-0.4419,-0.8576,this study,10.1594/PANGAEA.883334,10.1029/2017PA003306
ODP Site 1209,Pacific,"198-1209C-10H-4,65-67",188.65,208.624,53.231154000000004,-0.599,-0.907,this study,10.1594/PANGAEA.883334,10.1029/2017PA003306
ODP Site 1209,Pacific,"198-1209B-21H-2,102-104",188.13,208.67,53.237386,-0.5127,-1.0653,this study,10.1594/PANGAEA.883334,10.1029/2017PA003306
ODP Site 1209,Pacific,"198-1209B-21H-2,106-108",188.17,208.71,53.242805,-0.3775,-0.8737,this study,10.1594/PANGAEA.883334,10.1029/2017PA003306
ODP Site 1209,Pacific,"198-1209B-21H-2,112-114",188.23,208.77,53.256358999999996,-0.5806,-1.2619,this study,10.1594/PANGAEA.883334,10.1029/2017PA003306
ODP Site 1209,Pacific,"198-1209B-21H-2,132-134",188.43,208.97,53.303021,-0.4564,-0.9436,this study,10.1594/PANGAEA.883334,10.1029/2017PA003306
ODP Site 1209,Pacific,"198-1209B-21H-2,136-138",188.47,209.01,53.312354,-0.2339,-0.7555,this study,10.1594/PANGAEA.883334,10.1029/2017PA003306
ODP Site 1209,Pacific,"198-1209C-10H-4,105-107",189.05,209.064,53.324951999999996,-0.202,-0.766,this study,10.1594/PANGAEA.883334,10.1029/2017PA003306
ODP Site 1209,Pacific,"198-1209B-21H-2,142-144",188.53,209.07,53.326352,-0.0798,-0.6708,this study,10.1594/PANGAEA.883334,10.1029/2017PA003306
ODP Site 1209,Pacific,"198-1209B-21H-2,146-148",188.57,209.11,53.335685,-0.1756,-0.866,this study,10.1594/PANGAEA.883334,10.1029/2017PA003306
ODP Site 1209,Pacific,"198-1209B-21H-3,2-4",188.63,209.17,53.349683,-0.0674,-0.6692,this study,10.1594/PANGAEA.883334,10.1029/2017PA003306
ODP Site 1209,Pacific,"198-1209C-10H-4,115-117",189.15,209.174,53.350616,-0.134,-0.767,this study,10.1594/PANGAEA.883334,10.1029/2017PA003306
ODP Site 1209,Pacific,"198-1209B-21H-3,9-11",188.7,209.24,53.366015,-0.2213,-0.7517,this study,10.1594/PANGAEA.883334,10.1029/2017PA003306
ODP Site 1209,Pacific,"198-1209C-10H-4,125-127",189.25,209.284,53.37628,-0.104,-0.509,this study,10.1594/PANGAEA.883334,10.1029/2017PA003306
ODP Site 1209,Pacific,"198-1209B-21H-3,18-20",188.79,209.33,53.387012999999996,-0.1214,-0.7743,this study,10.1594/PANGAEA.883334,10.1029/2017PA003306
ODP Site 1209,Pacific,"198-1209C-10H-4,135-137",189.35,209.394,53.401944,-0.381,-0.11,this study,10.1594/PANGAEA.883334,10.1029/2017PA003306
