taxon,specimen_id,analysis_id,lmz,published_age_Ma,within_specimen_height_mm,d13Ccarb_VPDB,d18Ocarb_VSMOW,d18Ophosphate_VSMOW,regional_setting,possible_section,source,dataset,proxy_type,geographic_scope,stratigraphic_section,section_note
Coryphodon,83517,83517-3,Wa-1,55.31,12,15.9,18.7,14,northern Bighorn Basin,Clarks Fork Basin or McCullough Peaks,"Fricke et al. (1998), Table 1",Fricke et al. (1998),Biogenic phosphate d18O,Northern Bighorn Basin,NA,"Samples are from either the Clarks Fork Basin or McCullough Peaks, but Table 1 does not provide specimen-level section assignments."
Coryphodon,83517,83517-2,Wa-1,55.31,7,15,18.9,14.8,northern Bighorn Basin,Clarks Fork Basin or McCullough Peaks,"Fricke et al. (1998), Table 1",Fricke et al. (1998),Biogenic phosphate d18O,Northern Bighorn Basin,NA,"Samples are from either the Clarks Fork Basin or McCullough Peaks, but Table 1 does not provide specimen-level section assignments."
Coryphodon,83517,83517-1,Wa-1,55.31,1.8,NA,NA,14.9,northern Bighorn Basin,Clarks Fork Basin or McCullough Peaks,"Fricke et al. (1998), Table 1",Fricke et al. (1998),Biogenic phosphate d18O,Northern Bighorn Basin,NA,"Samples are from either the Clarks Fork Basin or McCullough Peaks, but Table 1 does not provide specimen-level section assignments."
Coryphodon,94016,94016-8,Wa-4,53.67,45,14.2,20.1,NA,northern Bighorn Basin,Clarks Fork Basin or McCullough Peaks,"Fricke et al. (1998), Table 1",Fricke et al. (1998),NA,Northern Bighorn Basin,NA,"Samples are from either the Clarks Fork Basin or McCullough Peaks, but Table 1 does not provide specimen-level section assignments."
Coryphodon,94016,94016-7,Wa-4,53.67,40.5,14,18.8,13.3,northern Bighorn Basin,Clarks Fork Basin or McCullough Peaks,"Fricke et al. (1998), Table 1",Fricke et al. (1998),Biogenic phosphate d18O,Northern Bighorn Basin,NA,"Samples are from either the Clarks Fork Basin or McCullough Peaks, but Table 1 does not provide specimen-level section assignments."
Coryphodon,94016,94016-6,Wa-4,53.67,35.5,13.6,19.9,13.6,northern Bighorn Basin,Clarks Fork Basin or McCullough Peaks,"Fricke et al. (1998), Table 1",Fricke et al. (1998),Biogenic phosphate d18O,Northern Bighorn Basin,NA,"Samples are from either the Clarks Fork Basin or McCullough Peaks, but Table 1 does not provide specimen-level section assignments."
Coryphodon,94016,94016-5,Wa-4,53.67,31,13.6,20.4,13.4,northern Bighorn Basin,Clarks Fork Basin or McCullough Peaks,"Fricke et al. (1998), Table 1",Fricke et al. (1998),Biogenic phosphate d18O,Northern Bighorn Basin,NA,"Samples are from either the Clarks Fork Basin or McCullough Peaks, but Table 1 does not provide specimen-level section assignments."
Coryphodon,94016,94016-4,Wa-4,53.67,22.5,14.3,20,14.3,northern Bighorn Basin,Clarks Fork Basin or McCullough Peaks,"Fricke et al. (1998), Table 1",Fricke et al. (1998),Biogenic phosphate d18O,Northern Bighorn Basin,NA,"Samples are from either the Clarks Fork Basin or McCullough Peaks, but Table 1 does not provide specimen-level section assignments."
Coryphodon,94016,94016-3,Wa-4,53.67,18,14.4,19.4,13.9,northern Bighorn Basin,Clarks Fork Basin or McCullough Peaks,"Fricke et al. (1998), Table 1",Fricke et al. (1998),Biogenic phosphate d18O,Northern Bighorn Basin,NA,"Samples are from either the Clarks Fork Basin or McCullough Peaks, but Table 1 does not provide specimen-level section assignments."
Coryphodon,94016,94016-2,Wa-4,53.67,14,14.4,18.8,13.6,northern Bighorn Basin,Clarks Fork Basin or McCullough Peaks,"Fricke et al. (1998), Table 1",Fricke et al. (1998),Biogenic phosphate d18O,Northern Bighorn Basin,NA,"Samples are from either the Clarks Fork Basin or McCullough Peaks, but Table 1 does not provide specimen-level section assignments."
Coryphodon,94016,94016-1,Wa-4,53.67,10,14,18.8,13.5,northern Bighorn Basin,Clarks Fork Basin or McCullough Peaks,"Fricke et al. (1998), Table 1",Fricke et al. (1998),Biogenic phosphate d18O,Northern Bighorn Basin,NA,"Samples are from either the Clarks Fork Basin or McCullough Peaks, but Table 1 does not provide specimen-level section assignments."
Coryphodon,88268,88268-11,Wa-6,53.01,75.2,NA,NA,16.4,northern Bighorn Basin,Clarks Fork Basin or McCullough Peaks,"Fricke et al. (1998), Table 1",Fricke et al. (1998),Biogenic phosphate d18O,Northern Bighorn Basin,NA,"Samples are from either the Clarks Fork Basin or McCullough Peaks, but Table 1 does not provide specimen-level section assignments."
