MLA_horizon_id,strat_height_m,T_model_C,T_model_se_C,T_model_lower95_C,T_model_upper95_C,T_measured_C,T_measured_se_C,n_T_obs,T_sources,T_model_anchor_C,has_measured_T47
PK95-SC-318,1725,33.71219293710493,1.785362552661068,30.212882333889237,37.21150354032062,NA,NA,0,NA,NA,FALSE
PK95-SC-133,1750,31.253449276165885,1.785362552661068,27.75413867295019,34.75275987938158,21.425,1.2058019461475975,1,IPL,31.288333333333334,TRUE
PK95-SC-31,1760,26.35194274025718,1.785362552661068,22.852632137041486,29.851253343472873,30.74,2.1444346574330497,1,IPL,26.321666666666665,TRUE
PK95-SC-224,1815,24.687962193779875,3.3212727647361002,18.17826757489712,31.19765681266263,NA,NA,0,NA,NA,FALSE
SNELL-SC-33,1840,29.793922440394624,3.4050338552730364,23.120056084059474,36.46778879672978,26.8,5.2,1,Snell,29.796666666666667,TRUE
PK95-SC-33,1840,29.793922440394624,3.4050338552730364,23.120056084059474,36.46778879672978,NA,NA,0,NA,NA,FALSE
PK95-SC-35,1870,31.717052673591898,3.393108313267093,25.066560379588395,38.3675449675954,NA,NA,0,NA,NA,FALSE
PK95-SC-63,1910,32.452035231186976,1.802734226731417,28.9186761467934,35.98539431558055,31.850000000000005,1.7731798179165768,1,IPL,32.45,TRUE
PK95-SC-3,1935,35.584016145541334,1.802734226731417,32.05065706114776,39.11737522993491,38.7,2.0869560153534854,1,IPL,35.583333333333336,TRUE
SNELL-SC-64,1970,37.79515803301334,1.9114367039864886,34.04874209319982,41.54157397282685,36.2,1.5,1,Snell,37.800000000000004,TRUE
PK95-SC-64,1970,37.79515803301334,1.9114367039864886,34.04874209319982,41.54157397282685,NA,NA,0,NA,NA,FALSE
PK95-SC-111,2005,30.604022455285705,2.598635458809965,25.510696956018172,35.69734795455324,38.5,2.0869560153534854,1,IPL,30.6,TRUE
PK95-SC-112,2020,28.656626872228692,2.598635458809965,23.56330137296116,33.74995237149622,NA,NA,0,NA,NA,FALSE
PK95-SC-148lwr,2047,27.718645641917607,2.7303299039599307,22.367199030156144,33.07009225367907,NA,NA,0,NA,NA,FALSE
PK95-SC-148,2048.5,27.69888745665965,2.7303299039599307,22.347440844898188,33.050334068421115,17.1,3.695041722813605,1,IPL,27.7,TRUE
PK95-SC-148up,2050,27.67798774855047,2.7303299039599307,22.326541136789007,33.02943436031194,NA,NA,0,NA,NA,FALSE
PK95-SC-303,2110,26.73348225816114,2.7303299039599307,21.382035646399675,32.08492886992261,27.5,2.0869560153534854,1,IPL,26.733333333333334,TRUE
PK95-SC-295,2210,29.875980762017164,2.6613730004988922,24.659689681039335,35.09227184299499,NA,NA,0,NA,NA,FALSE
SNELL-SC-295,2240,31.549966126090034,2.6613730004988922,26.333675045112205,36.766257207067866,35.6,1.8,1,Snell,31.55,TRUE
