site,event,sample_label,depth_mbsf,depth_composite_mcd,Age_Ma,d13C_benthic_vpdb,d18O_benthic_vpdb,d18O_corrected_vpdb,bottom_water_temperature_C,source_record,dataset_doi,article_doi
ODP Site 1262,208-1262C,"208-1262C-12H-2,44-45",185.945,204.725,63.57233,1.28,0.01,0.118,9.83,This study,10.1594/PANGAEA.884585,10.1029/2019PA003556
ODP Site 1262,208-1262C,"208-1262C-12H-2,47-48",185.975,204.755,63.579089999999994,1.19,-0.07,0.031,10.21,This study,10.1594/PANGAEA.884585,10.1029/2019PA003556
ODP Site 1262,208-1262C,"208-1262C-12H-2,50-51",186.005,204.785,63.58585,1.09,-0.18,-0.091,10.76,This study,10.1594/PANGAEA.884585,10.1029/2019PA003556
ODP Site 1262,208-1262C,"208-1262C-12H-2,52-53",186.025,204.805,63.590360000000004,1.14,-0.1,-0.003,10.37,This study,10.1594/PANGAEA.884585,10.1029/2019PA003556
ODP Site 1262,208-1262C,"208-1262C-12H-2,57-58",186.075,204.855,63.601639999999996,1,-0.19,-0.101,10.8,This study,10.1594/PANGAEA.884585,10.1029/2019PA003556
ODP Site 1262,208-1262C,"208-1262C-12H-2,59-60",186.095,204.875,63.60615,0.95,-0.24,-0.155,11.04,This study,10.1594/PANGAEA.884585,10.1029/2019PA003556
ODP Site 1262,208-1262C,"208-1262C-12H-2,69-70",186.195,204.975,63.62869,1.04,-0.28,-0.197,11.23,This study,10.1594/PANGAEA.884585,10.1029/2019PA003556
ODP Site 1262,208-1262C,"208-1262C-12H-2,72-73",186.225,205.005,63.63545,1.15,-0.2,-0.116,10.86,This study,10.1594/PANGAEA.884585,10.1029/2019PA003556
ODP Site 1262,208-1262C,"208-1262C-12H-2,74-75",186.245,205.025,63.63996,1.14,-0.29,-0.215,11.31,This study,10.1594/PANGAEA.884585,10.1029/2019PA003556
ODP Site 1262,208-1262C,"208-1262C-12H-2,80-81",186.305,205.085,63.65349,1.23,-0.15,-0.051,10.58,This study,10.1594/PANGAEA.884585,10.1029/2019PA003556
ODP Site 1262,208-1262C,"208-1262C-12H-2,84-85",186.345,205.125,63.662510000000005,1.22,-0.15,-0.056,10.6,This study,10.1594/PANGAEA.884585,10.1029/2019PA003556
ODP Site 1262,208-1262C,"208-1262C-12H-2,86-87",186.365,205.145,63.667019999999994,1.25,-0.09,0.017,10.28,This study,10.1594/PANGAEA.884585,10.1029/2019PA003556
ODP Site 1262,208-1262C,"208-1262C-12H-2,89-90",186.395,205.175,63.67378,1.27,-0.16,-0.069,10.66,This study,10.1594/PANGAEA.884585,10.1029/2019PA003556
ODP Site 1262,208-1262C,"208-1262C-12H-2,92-93",186.425,205.205,63.680550000000004,1.2,-0.2,-0.11,10.84,This study,10.1594/PANGAEA.884585,10.1029/2019PA003556
ODP Site 1262,208-1262C,"208-1262C-12H-2,96-97",186.465,205.245,63.68956,1.05,-0.13,-0.039,10.52,This study,10.1594/PANGAEA.884585,10.1029/2019PA003556
ODP Site 1262,208-1262C,"208-1262C-12H-2,98-99",186.485,205.265,63.694069999999996,1.28,0.05,0.167,9.62,This study,10.1594/PANGAEA.884585,10.1029/2019PA003556
ODP Site 1262,208-1262C,"208-1262C-12H-2,101-102",186.515,205.295,63.70084,1.07,-0.16,-0.071,10.66,This study,10.1594/PANGAEA.884585,10.1029/2019PA003556
ODP Site 1262,208-1262C,"208-1262C-12H-2,104-105",186.545,205.325,63.7076,1.15,-0.13,-0.032,10.49,This study,10.1594/PANGAEA.884585,10.1029/2019PA003556
ODP Site 1262,208-1262C,"208-1262C-12H-2,108-109",186.585,205.365,63.716620000000006,1.07,-0.15,-0.062,10.62,This study,10.1594/PANGAEA.884585,10.1029/2019PA003556
ODP Site 1262,208-1262C,"208-1262C-12H-2,110-111",186.605,205.385,63.72107,1.19,-0.1,0.001,10.35,This study,10.1594/PANGAEA.884585,10.1029/2019PA003556
ODP Site 1262,208-1262C,"208-1262C-12H-2,113-114",186.635,205.415,63.7275,1.12,-0.25,-0.172,11.12,This study,10.1594/PANGAEA.884585,10.1029/2019PA003556
ODP Site 1262,208-1262C,"208-1262C-12H-2,116-117",186.665,205.445,63.733940000000004,1.19,-0.2,-0.112,10.85,This study,10.1594/PANGAEA.884585,10.1029/2019PA003556
ODP Site 1262,208-1262C,"208-1262C-12H-2,119-120",186.695,205.475,63.740370000000006,1.35,0.06,0.184,9.55,This study,10.1594/PANGAEA.884585,10.1029/2019PA003556
ODP Site 1262,208-1262C,"208-1262C-12H-2,122-123",186.725,205.505,63.7468,1.26,-0.03,0.075,10.02,This study,10.1594/PANGAEA.884585,10.1029/2019PA003556
ODP Site 1262,208-1262C,"208-1262C-12H-2,125-126",186.755,205.535,63.75323,1.3,0.02,0.134,9.76,This study,10.1594/PANGAEA.884585,10.1029/2019PA003556
ODP Site 1262,208-1262C,"208-1262C-12H-2,127-128",186.775,205.555,63.75752,1.34,0.11,0.238,9.31,This study,10.1594/PANGAEA.884585,10.1029/2019PA003556
ODP Site 1262,208-1262C,"208-1262C-12H-2,131-132",186.815,205.595,63.76609,1.34,0.02,0.134,9.76,This study,10.1594/PANGAEA.884585,10.1029/2019PA003556
ODP Site 1262,208-1262C,"208-1262C-12H-2,133-134",186.835,205.615,63.770379999999996,1.36,0.19,0.326,8.92,This study,10.1594/PANGAEA.884585,10.1029/2019PA003556
ODP Site 1262,208-1262C,"208-1262C-12H-2,137-138",186.875,205.655,63.77896,1.33,-0.1,-0.006,10.38,This study,10.1594/PANGAEA.884585,10.1029/2019PA003556
ODP Site 1262,208-1262C,"208-1262C-12H-2,140-141",186.905,205.685,63.78539,1.32,0.03,0.149,9.7,This study,10.1594/PANGAEA.884585,10.1029/2019PA003556
ODP Site 1262,208-1262C,"208-1262C-12H-2,143-144",186.935,205.715,63.79182,1.46,0.18,0.317,8.96,This study,10.1594/PANGAEA.884585,10.1029/2019PA003556
