Age_Ma,Harper2024_mean_CO2_ppm,Harper2024_CO2_lower95_ppm,Harper2024_CO2_upper95_ppm,Harper2024_mean_SST_C,Harper2024_SST_lower95_C,Harper2024_SST_upper95_C
56.086,1292.212208,1021.863523,1625.942796,34.62357132,33.74595842,35.3262235
56.079,1283.082134,1002.329221,1624.410263,35.00410634,33.80522357,36.12315084
56.075,1278.371157,993.4136079,1622.623299,35.23079735,34.23171931,36.07695159
56.064,1265.439818,968.3814154,1619.908952,35.79760242,34.90214458,36.49847593
56.06,1258.596949,965.2282929,1611.885589,35.3628147,34.45765721,36.06608472
56.052,1241.920746,952.2344649,1592.431724,34.85237356,33.9804602,35.53599327
56.041,1227.21076,940.2134125,1579.132218,34.38755761,33.51289261,35.07178257
56.04,1228.50301,943.5963566,1582.869729,34.52716764,33.52234937,35.3679569
56.032,1217.498969,933.5765951,1561.50861,34.87878308,33.99564536,35.58012901
56.02,1201.929966,923.5064001,1546.990598,34.92027335,34.05813554,35.5988381
56.018,1202.148598,926.2083211,1533.589298,34.91056728,34.0367759,35.58810086
56.007,1195.869383,927.0347175,1516.006104,35.36561502,34.47969288,36.06776482
56,1195.115625,939.8554751,1501.052321,35.54284996,34.19098264,36.80914027
55.993,1190.220596,942.5902258,1483.650952,35.68370066,34.661678620000004,36.5700593
55.985,1185.711646,957.1663657,1459.351559,35.41599319,34.48465889,36.14888163
55.983,1185.039015,958.0039821,1452.083843,35.19324791,34.16712262,36.0439329
55.981,1189.143722,969.1937292,1451.977392,35.30424293,34.43401212,35.95013357
55.975,1184.653097,978.2720571,1421.709643,35.7040786,34.72999594,36.52104919
55.971,1183.423859,987.0702619,1408.553046,35.91067114,35.00670196,36.60301516
55.97,1183.942263,991.5176653,1406.162454,35.8443612,34.84897688,36.65819588
55.966,1182.650699,1008.595423,1386.200718,35.58167893,34.5826922,36.3983575
55.965,1184.574487,1011.717562,1380.828404,35.67471573,34.81987531,36.30549335
55.961,1241.502066,1054.446493,1453.883309,35.69177935,34.56676697,36.71503337
55.959,1267.060454,1081.075085,1482.380249,35.55822021,34.48721871,36.49248156
55.957,1298.881463,1107.523254,1516.41835,35.674952330000004,34.83313785,36.26370321
55.956,1320.668335,1131.293119,1541.394455,35.28635549,34.37174077,35.98529088
55.954,1349.763769,1147.909956,1584.679796,35.57791754,34.62817995,36.34528748
55.95,1414.458659,1198.979223,1668.903791,35.46083273,34.49789096,36.23975003
55.948,1468.435978,1237.506259,1738.359206,35.28341375,34.34299724,36.01636965
55.946,1519.404419,1280.476006,1794.273067,36.16154222,35.29730341,36.75949333
55.944,1584.214406,1333.896326,1880.713316,36.48198719,35.57813682,37.20644468
55.942,1657.812869,1394.330045,1958.410057,35.89038491,34.99658431,36.55175106
55.934,2026.037709,1684.387869,2416.00144,39.27982633,38.11941437,40.26364897
55.932,2170.030681,1798.431763,2597.251716,40.51873084,39.55582472,41.15747042
55.93,2187.374725,1798.451355,2638.683184,41.13423656,40.16673233,41.76124933
55.927,2214.549079,1831.940065,2663.64357,41.38037508,40.42988195,41.90974467
55.926,2221.67965,1834.408889,2684.963504,41.17217491,40.14029049,41.84483969
55.924,2224.745098,1828.006007,2680.950553,40.80100092,39.86177174,41.41766289
55.92,2234.296899,1829.093125,2715.498786,40.38721875,39.14181659,41.45905628
55.917,2236.277777,1825.533967,2726.071142,39.93253254,38.70083783,41.01198519
55.914,2252.836154,1838.507897,2749.213344,39.9084389,38.97887561,40.53448754
55.907,2378.639891,1948.010191,2899.582059,40.22268811,38.99116982,41.29483617
55.904,2441.311295,2000.590841,2962.140189,40.39225206,39.4483972,41.02952817
55.901,2508.327773,2068.068246,3023.661134,40.36572042,39.39586123,41.04484671
55.899,2481.056904,2044.104311,2999.866576,40.42311655,39.26525935,41.39133805
55.898,2459.57636,2029.799167,2971.0530440000002,40.26129769,39.0715941,41.27340644
55.894,2397.096052,1975.888394,2895.121673,40.58089469,39.63421467,41.28291642
55.891,2341.487931,1923.392666,2833.852397,40.20509125,39.06398632,41.1689454
55.888,2285.760187,1888.524165,2766.539646,40.01475698,39.10321277,40.60826845
55.885,2241.015971,1850.356567,2723.025141,39.00627871,38.07799682,39.6620588
