T47_C,n_paths,mean_d18Ocarb_vsmow,median_d18Ocarb_vsmow,lower95_d18Ocarb_vsmow,upper95_d18Ocarb_vsmow,lower80_d18Ocarb_vsmow,upper80_d18Ocarb_vsmow,lower50_d18Ocarb_vsmow,upper50_d18Ocarb_vsmow
64,465,20.53630117647026,20.165918118722516,15.045180668170655,27.362236211412753,16.717033073508993,24.727134298345803,18.294848427036072,22.62588795119825
65,454,20.40974598303286,20.08497021931828,14.873422723316333,27.238208487230622,16.547695697783173,24.603165819765742,18.1485600898431,22.505430348201543
66,448,20.307153317141548,19.970441332796838,14.732665976624247,27.27994661264964,16.411554869443297,24.55444815472388,17.98642896094728,22.39530895554836
67,440,20.22152667655253,19.850544116794538,14.597093937992678,27.001956842888223,16.278987522617253,24.58478330637554,17.838033845822423,22.276921772644357
68,433,20.14456872582211,19.80620916616067,14.462614746181611,27.176703462518567,16.15762834086745,24.5749455805531,17.748767946259136,22.258880594566108
69,421,20.049791106828224,19.711986354562328,14.388971699252238,27.029730898670778,16.028271270813775,24.531612804219776,17.60768966072385,22.140346143041484
70,416,19.98397230593986,19.64448626266369,14.263775491928655,27.164162090438595,15.916046306191788,24.574627969482776,17.470631793063745,22.088098616981057
71,411,19.920717077440386,19.572131663324853,14.13230882696132,27.301029690286157,15.809856759004902,24.58471763114244,17.32988159691712,22.024253973270675
72,401,19.742930342545066,19.405275478748422,13.98718242775169,26.528676272321263,15.691749881850228,24.207019179920508,17.215674069420288,21.832366960430704
73,391,19.70163210711851,19.424757400875023,13.83493230067944,26.63302957823447,15.536862294444404,24.22642960570147,17.11414369479678,21.805088605862693
74,384,19.619491752867848,19.35682459059592,13.700186617224038,26.661718914836378,15.417137634327947,24.19428241645096,17.01305872317417,21.761053812037176
75,370,19.435580126973825,19.08715979867634,13.57503249621821,26.671582247696023,15.262729614625176,24.168627544160746,16.846902507687844,21.550299260034848
76,366,19.374596586617933,19.022501320996582,13.448705498471625,26.741033734629838,15.119534312614121,24.11482934501896,16.76229100426204,21.541947849597108
77,356,19.324767809668018,18.986292149188216,13.30876153605297,26.86377099148484,15.038172963913155,24.03676139651816,16.67372234256493,21.530915933873388
78,348,19.22498216861746,18.88509541172857,13.18243810640383,26.826565881134727,14.913004081253826,23.983963230553513,16.559807966081564,21.461278963191177
79,339,19.112717117518464,18.77551842683465,13.066587666509282,26.678838623613462,14.768326598423732,23.843049936255582,16.43590631291397,21.340333415696193
80,333,19.067612458846785,18.757387082527657,12.94105444176255,26.792299653636015,14.651375031298357,23.77959012472118,16.358768521223737,21.308635011295337
81,327,19.007613430324028,18.772448649494322,12.800833868653784,26.90657497628576,14.519153064740658,23.537691810176423,16.304413036771905,21.26697221027996
82,323,18.91933185580561,18.66328055710028,12.663544911715917,26.587651492829224,14.404844837019073,23.565703154853804,16.217262652937166,21.207762281202065
83,314,18.85663254717592,18.602390852837743,12.498090437839856,26.33619915332161,14.288622982909533,23.589575088719222,16.15386137677524,21.1909743065103
84,302,18.766702657509,18.561110427439303,12.424295401621006,26.307681020048214,14.173171588328136,23.52854632354454,16.090007582915376,21.170584037016738
85,294,18.6565045952165,18.488710242448178,12.286187333932777,26.037576436203867,14.082231211210548,23.462600929277244,15.972550341240577,21.113634565973797
86,290,18.579157722394598,18.45318779539525,12.155286882639354,25.97270014966862,13.956031373283793,23.29708224303925,15.821512584058809,21.1076320898986
87,279,18.49175887860732,18.4620831919201,12.013816905515085,25.93327450355612,13.863795898128728,23.121372278233686,15.740880589601204,21.09356649768506
88,265,18.350448237828473,18.034084601354266,11.812618665148829,25.935254406010927,13.66944156888842,23.09362021585177,15.457137752501353,21.0019149116672
89,258,18.286680145809413,18.06641019197656,11.650858327573562,25.96643241141669,13.520729985023207,23.106227302665502,15.324781464872643,21.047111423356398
90,249,18.14092097925381,17.92817444878176,11.486371809565798,25.92352394700851,13.414341189482137,23.023283612996423,15.057090268348702,20.967654002389168
